Age,Sex,Housing,Saving_accounts,Credit_amount,Risk
26,male,1-own,1-little,590,good
65,male,1-own,,930,good
55,male,3-free,1-little,9283,good
26,female,2-rent,1-little,1778,bad
26,male,1-own,1-little,907,good
28,male,1-own,1-little,484,good
24,male,1-own,1-little,9629,bad
54,male,1-own,1-little,3051,bad
46,male,3-free,1-little,3931,bad
54,female,2-rent,1-little,7432,good
62,male,1-own,3-quite rich,1338,good
24,female,2-rent,1-little,1554,good
43,male,1-own,1-little,15857,good
26,male,1-own,1-little,1345,bad
27,male,1-own,1-little,1101,good
24,male,1-own,1-little,3016,good
41,male,1-own,1-little,2712,bad
47,male,1-own,1-little,731,good
35,male,1-own,1-little,3780,good
30,male,1-own,1-little,1602,good
33,female,2-rent,1-little,3966,bad
36,male,1-own,1-little,4165,bad
47,male,3-free,,8335,bad
38,male,3-free,,6681,good
44,male,1-own,3-quite rich,2375,good
23,female,2-rent,1-little,1216,bad
29,male,2-rent,1-little,11816,bad
42,female,1-own,,5084,good
25,female,1-own,1-little,2327,bad
48,male,1-own,1-little,1082,bad
21,female,1-own,,886,good
23,female,2-rent,1-little,601,good
63,male,1-own,1-little,2957,good
46,male,1-own,1-little,2611,good
29,male,1-own,1-little,5179,bad
28,male,1-own,1-little,2993,good
23,female,1-own,1-little,1943,bad
50,male,1-own,1-little,1559,good
47,male,1-own,1-little,3422,good
35,male,1-own,,3976,good
68,male,2-rent,,6761,bad
28,male,1-own,1-little,1249,good
59,male,1-own,1-little,1364,good
57,male,1-own,1-little,709,bad
33,male,2-rent,1-little,2235,bad
43,male,1-own,,4042,good
35,male,3-free,1-little,1471,good
32,male,3-free,1-little,1442,bad
45,male,1-own,1-little,10875,good
33,male,1-own,2-moderate,1474,good
40,female,1-own,,894,good
28,male,3-free,1-little,3343,good
29,female,1-own,1-little,3959,bad
26,male,2-rent,2-moderate,3577,good
27,male,1-own,4-rich,5804,good
28,male,1-own,1-little,2169,bad
35,female,1-own,1-little,2439,bad
32,male,1-own,4-rich,4526,good
25,male,2-rent,1-little,2210,bad
20,female,2-rent,3-quite rich,2221,good
27,female,1-own,1-little,2389,good
42,male,1-own,1-little,3331,good
37,male,1-own,,7409,good
24,female,2-rent,1-little,652,good
40,female,1-own,3-quite rich,7678,good
46,male,1-own,1-little,1343,good
26,male,1-own,2-moderate,1382,good
24,female,1-own,,874,good
29,male,1-own,1-little,3590,good
40,female,1-own,4-rich,1322,good
36,male,3-free,1-little,1940,good
28,male,1-own,1-little,3595,good
27,male,3-free,1-little,1422,bad
36,male,1-own,,6742,good
38,male,1-own,1-little,7814,good
48,male,3-free,,9277,good
36,male,1-own,,2181,good
65,female,1-own,1-little,1098,good
43,male,1-own,1-little,4057,bad
53,female,1-own,1-little,795,bad
34,male,1-own,,2825,good
23,male,1-own,1-little,15672,bad
34,male,1-own,1-little,6614,good
40,male,2-rent,,7824,good
43,male,1-own,1-little,2442,good
46,male,1-own,1-little,1829,good
38,male,1-own,1-little,2171,good
34,male,1-own,1-little,5800,good
29,male,1-own,,1169,good
31,male,1-own,,8947,good
28,female,2-rent,1-little,2606,good
35,female,1-own,4-rich,1592,good
33,female,2-rent,,2186,good
42,male,1-own,1-little,4153,bad
43,male,2-rent,1-little,2625,bad
44,male,1-own,,3485,good
42,male,3-free,,10477,good
40,male,2-rent,,1386,good
36,male,1-own,1-little,1278,good
20,male,2-rent,1-little,1107,good
24,male,1-own,,3763,good
27,male,1-own,,3711,good
46,female,1-own,1-little,3594,good
33,female,1-own,,3195,good
34,female,1-own,1-little,4454,good
25,female,1-own,1-little,4736,bad
25,female,1-own,,2991,good
28,male,1-own,4-rich,2142,good
31,male,2-rent,1-little,3161,bad
32,female,1-own,1-little,18424,bad
32,male,1-own,2-moderate,2848,good
68,male,1-own,1-little,14896,bad
33,male,1-own,2-moderate,2359,bad
39,male,2-rent,1-little,3345,bad
28,female,1-own,1-little,1817,good
37,male,1-own,3-quite rich,12749,good
22,female,2-rent,1-little,1366,bad
30,male,2-rent,1-little,2002,good
55,male,1-own,1-little,6872,bad
46,male,1-own,1-little,697,bad
21,female,2-rent,1-little,1049,good
39,male,3-free,1-little,10297,bad
58,male,1-own,,1867,good
43,male,1-own,1-little,1344,good
24,male,1-own,1-little,1747,good
22,female,1-own,1-little,1670,bad
30,male,1-own,1-little,1224,good
42,male,1-own,3-quite rich,522,good
23,female,1-own,1-little,1498,good
30,male,1-own,2-moderate,1919,bad
28,female,1-own,1-little,745,bad
30,male,2-rent,1-little,2063,good
42,male,3-free,1-little,6288,bad
46,male,1-own,,6842,good
45,male,1-own,,3527,good
31,male,1-own,1-little,1546,good
31,male,1-own,,929,good
42,male,1-own,1-little,1455,good
46,female,2-rent,1-little,1845,good
30,female,1-own,3-quite rich,8358,good
30,male,3-free,3-quite rich,3349,bad
38,male,1-own,,2859,good
43,male,1-own,1-little,1533,bad
31,male,1-own,2-moderate,3621,bad
40,male,1-own,1-little,3590,good
24,male,1-own,1-little,2145,bad
28,female,2-rent,3-quite rich,4113,bad
26,female,1-own,1-little,10974,bad
29,female,1-own,1-little,1893,good
57,female,2-rent,4-rich,1231,good
49,male,1-own,,3656,good
37,male,1-own,1-little,1154,good
45,male,1-own,1-little,4006,bad
30,male,3-free,2-moderate,3069,good
30,male,2-rent,1-little,1740,good
47,male,1-own,1-little,2353,good
29,male,1-own,,3556,good
35,male,1-own,3-quite rich,2397,bad
22,male,1-own,1-little,454,good
26,female,1-own,,1715,good
23,male,1-own,3-quite rich,2520,bad
54,female,2-rent,1-little,3568,good
29,male,2-rent,,7166,good
40,male,1-own,1-little,3939,good
22,male,1-own,2-moderate,1514,good
43,male,1-own,1-little,7393,good
29,female,2-rent,1-little,1193,bad
36,male,2-rent,1-little,7297,bad
33,female,1-own,1-little,2831,good
57,female,1-own,3-quite rich,1258,good
64,female,1-own,1-little,753,good
42,male,1-own,,2427,good
47,male,1-own,1-little,2538,bad
25,male,2-rent,2-moderate,1264,bad
49,male,1-own,1-little,8386,bad
33,male,2-rent,1-little,4844,bad
28,female,1-own,2-moderate,2923,good
26,male,1-own,1-little,8229,bad
30,male,1-own,1-little,2028,good
25,female,2-rent,1-little,1433,good
33,male,1-own,1-little,6289,good
64,female,1-own,2-moderate,1409,good
29,male,3-free,1-little,6579,good
48,male,1-own,1-little,1743,good
37,male,1-own,,3565,good
34,male,1-own,2-moderate,1569,good
23,male,2-rent,,1936,good
30,male,1-own,1-little,3959,good
50,male,1-own,,2390,good
31,female,1-own,1-little,1736,good
40,male,1-own,1-little,3857,good
38,male,1-own,1-little,804,good
23,male,3-free,1-little,1845,bad
27,male,1-own,2-moderate,4576,good
